scale,brand,id,img,v_brand,type,name,build,box,seller,cost,give
1/64,ACT,02,,HINO,RANGER (5代目),水戸市消防局 大型水槽車（桜水）,1,有盒,fb預購,2990,
1/64,ACT,SP,,HINO,RANGER (5代目),中津川市消防本部 大型水槽車（岐阜県）,1,有盒,fb預購,2990,
1/64,ACT,04A,,ISUZU,GIGA (2代目),茨城縣西南（古河）消防局拠点機能形成車,1,有盒,淘寶,3500,
1/64,ACT,05,,ISUZU,GIGA (2代目),東京消防庁 スーパーアンビュランス 消防救助機動部隊,1,有盒,淘寶,3500,
1/64,BBR,,,Alfa Romeo,Giulia GTAm,Alfa Romeo Giulia GTAm White,1,有盒,MASH,580,
1/64,BBR,,,Maserati,MC12 Stradale,Maserati MC12 Stradale White,1,有盒,MASH,570,
1/64,BBR,,,Maserati,MC12 Stradale,Maserati MC12 Stradale Blue /white Line,1,有盒,MASH,580,
1/64,BBR,,,Maserati,MC12 GT1 , Maserati MC12 Competizione #15 JMB,1,有盒,MASH,660,
1/64,BBR,,,Maserati,MC12 GT1 , Maserati MC12 Competizione #1 Vitaphone Racing Team 2008 Spa 24Hrs. Winner,2,有盒,MASH,660,送
1/64,BBR,,,Maserati,MC12 GT1 , Maserati MC12 Competizione Test Fiorano 2004,1,有盒,MASH,580,
1/64,BBR,,,Ferrari,812,Ferrari 812 Competitizone Blu Tour De,1,有盒,MASH,820,
1/64,BBR,,,Ferrari,296,Ferrari 296 GTB Assetto Fiorano Rosso,1,有盒,MASH,820,
1/64,BBR,,,Ferrari,Daytona SP3, Ferrari Daytona SP3 Rosso Imola,1,有盒,MASH,820,
1/64,BBR,,,Ferrari,Daytona SP3,Ferrari Daytona SP3 Light Blue,1,有盒,MASH,820,
1/64,DBGT,,,HINO,Super Dolphin (最終型),Hino Super Dolphin FS 砂石車(綠),2,有盒,海陸淘寶,700,
1/64,DBGT,,,HINO,Super Dolphin (最終型),Hino Super Dolphin FS 砂石車(黑),2,有盒,海陸淘寶,700,
1/64,DBGT,,,ISUZU,ELF (7代),ISUZU ELF 道路維修工程車,2,有盒,海陸淘寶,450,
1/64,First Gear ,,,Komatsu,PC210LC-11 ,KOMATSU PC210LC-11 ,1,有盒,露天,2500,
1/64,GDC,401,,Mercedes-Benz,Actros (MP5),Mercedes Benz Actros 雙層運輸車 (AMG銀),1,有盒,fb預購,2080,
1/64,GDC,402,,Mercedes-Benz,Actros (MP5),Mercedes Benz Actros 雙層運輸車 (黃),1,有盒,fb預購,2100,
1/64,GDC,418,,Mercedes-Benz,Actros (MP5),Mercedes Benz Actros 雙層運輸車 (spoon racing),1,有盒,淘寶,1931,
1/64,GDC,549,,Mercedes-Benz,Actros (MP5),Mercedes Benz Actros 雙層運輸車 (ADAC),1,有盒,淘寶,1600,
1/64,GDC,618,,Mercedes-Benz,Actros (MP5),Mercedes Benz Actros 雙層運輸車 AVAND,1,有盒,淘寶,1800,
1/64,GDC,497,,Mercedes-Benz,Actros (MP5),Actros gigaspace 6x2 Sattelzugmaschine + Scalable Trailer (藍),1,有盒,淘寶,1600,
1/64,GDC,498,,Mercedes-Benz,Actros (MP5),Actros gigaspace 6x2 Sattelzugmaschine + Scalable Trailer (白紅),1,有盒,淘寶,1600,
1/64,GDC,499,,Mercedes-Benz,Actros (MP5),Actros gigaspace 6x2 Sattelzugmaschine + Scalable Trailer (黑),1,有盒,淘寶,1600,
1/64,GDC,97,,Scania,卡車,Scania 730s  紅白藍,1,有盒,淘寶,1091,
1/64,GDC,,,Scania,卡車, Scania 730s  spoon歐翼卡車,1,有盒,烈馬露天,1910,
1/64,GDC,310,,三菱ふそう,Fuso Fighter (2011),三菱 Fuso Fighter 雙層運輸車(殼牌),1,有盒,淘寶,1000,
1/64,GDC,,,三菱ふそう,Fuso Fighter (2011),三菱 Fuso Fighter 吊卡 (白),1,有盒,淘寶預購,1400,
1/64,GDC,,,三菱ふそう,Fuso Fighter (2011),三菱 Fuso Fighter 吊卡 (紅),1,有盒,淘寶預購,1400,
1/64,GDC,,,三菱ふそう,Fuso Fighter (2011),三菱 Fuso Fighter 吊卡 (黃),1,有盒,淘寶預購,1400,
1/64,GDC,,,三菱ふそう,Fuso Fighter (2011),三菱 Fuso Fighter 吊卡 (白綠),1,有盒,淘寶預購,1400,
1/64,GDC,300,,三菱ふそう, Fuso Super Great (2017),三菱 LB-TRUCKS Fuso Super Great (閃電),1,有盒,淘寶,2000,
1/64,GDC,302,,三菱ふそう, Fuso Super Great (2017),三菱 LB-TRUCKS Fuso Super Great (黑),1,有盒,淘寶,2000,
1/64,GDC,425,,三菱ふそう, Fuso Super Great (2017),三菱 LB-TRUCKS Fuso Super Great (鈴木物流),1,有盒,小賈蝦皮,2480,
1/64,GDC,577,,三菱ふそう, Fuso Super Great (2017),三菱 LB-TRUCKS Fuso Super Great (),1,有盒,tsaiFB,2850,
1/64,Kyosho,,,Iveco,Stralis,Iveco Stralis Scuderia Ferrari Truck,1,有盒,代購幫,2475,
1/64,MINI GT,901,,Aston Martin,DB5,Aston Martin DB5 Thunderball ,1,有盒,MASH,460,
1/64,MINI GT,954,,Aston Martin,DB5,Aston Martin DB5 Sierra Blue,1,有盒,MASH,370,
1/64,MINI GT,1008,,Aston Martin,DBS,Aston Martin DBS 007 Edition 吊卡,1,有盒,MASH,520,
1/64,MINI GT,1008,,Aston Martin,DBS,Aston Martin DBS 007 Edition,1,有盒,三創,370,
1/64,MINI GT,1065,,Aston Martin,DBS,Aston Martin DBS Hyper Red,1,有盒,小賈蝦皮,370,
