sclae,brand,id,type,publish,image,train,name,sub,note,build,box,seller,cost,price,,
1/150,三鶯重工,S005 DR1000,客車,2024,,DR1000,台鐵 DR1000 柴油客車3輛編組 (1M2T.有動力) ,我收藏的第一台台鐵模型,,1,有盒,傑大,6500,,,
1/160,百萬城,LOC-N-001,蒸汽機車,2025,,前進型,前进型蒸汽机车 QJ-7071,第一台中國N比例蒸汽機車,,1,有盒,淘寶,3600,,,
1/160,CMR,未知,電力機車,2026,,韶山1型,SS1-203 京局丰段 青年号,,,1,有盒,淘寶,2100,,,
1/160,CMR,未知,電力機車,2026,,韶山1型,SS1-422 京局保段 党员示范车,,,1,有盒,淘寶,2100,,,
1/150,Mirco Ace,A8576,貨車,2024,,シキ801B1,シキ801B1(積荷なし)日本通運株式会社(NX),,,1,有盒,FB,2400,,,
1/150,KATO,2016-D,蒸汽機車,2026,,D51,D51 498 オリエントエクスプレス’88,,,1,有盒,FB,2450,,,
1/150,KATO,2016-6,蒸汽機車,2016,,D51,D51 標準形 長野式集煙装置付,,,1,有盒,代購幫,3000,,,
1/150,KATO,2016-8,蒸汽機車,2023,,D51,D51 200,,,1,有盒,代購幫,2300,,,
1/150,KATO,2016-9,蒸汽機車,2025,,D51,D51 標準形 ,,,1,有盒,傑大,2280,,,
1/150,KATO,2018-1,蒸汽機車,2020,,D51,D51 一次形 東北仕様,,,1,有盒,代購幫,1700,,,
1/150,KATO,2017-5,蒸汽機車,2016,,C62,C62 山陽形(呉線),,,1,有盒,傑大,2660,,,
1/150,KATO,2017-2,蒸汽機車,2025,,C62,C62 2 北海道形,,,1,有盒,傑大,2660,,,
1/150,KATO,2017-3,蒸汽機車,2025,,C62,C62 3 北海道形,,,1,有盒,FB代購,4700,,,
1/150,KATO​京都駅店,2017-K ,蒸汽機車,2025,,C62,C62 2 梅小路機関区,,,1,有盒,代購幫,3000,,,
1/150,KATO,2020-2,蒸汽機車,2024,,C56,C56 160,,,1,有盒,傑大,3050,,,
1/150,KATO,2021-1,蒸汽機車,2024,,C11,C11 171,,,1,有盒,傑大,3050,,,
1/150,KATO,2027,蒸汽機車,2016,,C50,C50, <KATO Nゲージ50周年記念製品>,,1,有盒,代購幫,3500,,,
1/150,KATO​京都駅店,​KKB00330,蒸汽機車,2025,,D51,D51 241 追分機関区(通常仕様),日本最後のSL定期運用列車を牽引したD51 241。装飾のない平常時の姿を特製品化,,1,有盒,FB代購,4550,,,
1/150,KATO​京都駅店,​KKB00335,蒸汽機車,2025,,D51,D51 499 福知山機関区（スノープロウ付）,後藤工場で取り付けられた、特異な形状のデフが人気の499号機,,1,有盒,FB代購,8800,,,
1/150,KATO​京都駅店,未知,蒸汽機車,2026,,D51,D51 499 奈良運転所（赤ロッド）,後藤工場で取り付けられた、特異な形状のデフが人気の499号機,,1,有盒,FB代購,8500,,,
1/150,KATO​京都駅店,​KKB00343,蒸汽機車,2025,,D51,D51 791 新鶴見機関区 ,「首都圏最後の蒸気機関車」D51 791お別れ運転時の姿を再現,,1,有盒,FB代購,7400,,,
1/150,KATO​京都駅店,KKB00346,蒸汽機車,2025,,D51,D51 838 新見機関区,デフレクターに鳳凰の装飾を施し、お召列車の牽引も行った同機を特製品化,,1,有盒,FB代購,8800,,,
1/150,KATO​京都駅店,KKB00344,蒸汽機車,2025,,D51,D51 882 「月と鹿」 奈良運転所（赤ロッド・赤ナンバー）,デフに描かれた「月と鹿」が人気のD51 882を赤ロッド、赤ナンバー仕様で再生産！,,1,有盒,FB代購,7400,,,
1/150,KATO,10-1957,客車,2024,,14系,14系500番台「SL冬之濕原號」 (5輛),,,1,有盒,傑大,4284,,,
1/150,ワールド工芸,未知,蒸汽機車,2010,,C51,C51 274号機,,,1,有盒,代購幫,10000,,,
1/150,TOMIX,2771,貨車,2024,,ソ80形,国鉄貨車 ソ80形（チキ7000形付）,,,1,有盒,傑大,720,,,
1/150,TOMIX,2773,貨車,2024,,シキ1000形,私有貨車 シキ1000形,,,2,有盒,傑大,410,,,
1/150,TOMIX,98522,客車,2023,,キハ141系,JR キハ141系旅客車(SL銀河用客車)セット,,,1,有盒,代購幫,3000,,,
